fng_date,fng_value,fng_classification
7/9/2022,24,Extreme Fear
6/9/2022,22,Extreme Fear
5/9/2022,23,Extreme Fear
4/9/2022,20,Extreme Fear
3/9/2022,21,Extreme Fear
2/9/2022,25,Extreme Fear
1/9/2022,20,Extreme Fear
31/8/2022,23,Extreme Fear
30/8/2022,27,Fear
29/8/2022,24,Extreme Fear
28/8/2022,28,Fear
27/8/2022,28,Fear
26/8/2022,27,Fear
25/8/2022,25,Extreme Fear
24/8/2022,25,Extreme Fear
23/8/2022,28,Fear
22/8/2022,29,Fear
21/8/2022,27,Fear
20/8/2022,29,Fear
19/8/2022,33,Fear
18/8/2022,30,Fear
17/8/2022,41,Fear
16/8/2022,44,Fear
15/8/2022,45,Fear
14/8/2022,47,Neutral
13/8/2022,46,Fear
12/8/2022,42,Fear
11/8/2022,41,Fear
10/8/2022,31,Fear
9/8/2022,42,Fear
8/8/2022,30,Fear
7/8/2022,30,Fear
6/8/2022,31,Fear
5/8/2022,31,Fear
4/8/2022,30,Fear
3/8/2022,34,Fear
2/8/2022,31,Fear
1/8/2022,33,Fear
31/7/2022,39,Fear
30/7/2022,42,Fear
29/7/2022,39,Fear
28/7/2022,32,Fear
27/7/2022,28,Fear
26/7/2022,26,Fear
25/7/2022,30,Fear
24/7/2022,30,Fear
23/7/2022,31,Fear
22/7/2022,33,Fear
21/7/2022,34,Fear
20/7/2022,31,Fear
19/7/2022,30,Fear
18/7/2022,20,Extreme Fear
17/7/2022,24,Extreme Fear
16/7/2022,21,Extreme Fear
15/7/2022,15,Extreme Fear
14/7/2022,18,Extreme Fear
13/7/2022,15,Extreme Fear
12/7/2022,16,Extreme Fear
11/7/2022,22,Extreme Fear
10/7/2022,24,Extreme Fear
9/7/2022,24,Extreme Fear
8/7/2022,20,Extreme Fear
7/7/2022,18,Extreme Fear
6/7/2022,18,Extreme Fear
5/7/2022,19,Extreme Fear
4/7/2022,14,Extreme Fear
3/7/2022,11,Extreme Fear
2/7/2022,14,Extreme Fear
1/7/2022,11,Extreme Fear
30/6/2022,11,Extreme Fear
29/6/2022,13,Extreme Fear
28/6/2022,10,Extreme Fear
27/6/2022,12,Extreme Fear
26/6/2022,14,Extreme Fear
25/6/2022,14,Extreme Fear
24/6/2022,11,Extreme Fear
23/6/2022,11,Extreme Fear
22/6/2022,11,Extreme Fear
21/6/2022,9,Extreme Fear
20/6/2022,9,Extreme Fear
19/6/2022,6,Extreme Fear
18/6/2022,6,Extreme Fear
17/6/2022,9,Extreme Fear
16/6/2022,7,Extreme Fear
15/6/2022,7,Extreme Fear
14/6/2022,8,Extreme Fear
13/6/2022,11,Extreme Fear
12/6/2022,14,Extreme Fear
11/6/2022,12,Extreme Fear
10/6/2022,13,Extreme Fear
9/6/2022,11,Extreme Fear
8/6/2022,17,Extreme Fear
7/6/2022,15,Extreme Fear
6/6/2022,13,Extreme Fear
5/6/2022,10,Extreme Fear
4/6/2022,14,Extreme Fear
3/6/2022,10,Extreme Fear
2/6/2022,13,Extreme Fear
1/6/2022,17,Extreme Fear
31/5/2022,16,Extreme Fear
30/5/2022,10,Extreme Fear
29/5/2022,14,Extreme Fear
28/5/2022,13,Extreme Fear
27/5/2022,12,Extreme Fear
26/5/2022,12,Extreme Fear
25/5/2022,11,Extreme Fear
24/5/2022,12,Extreme Fear
23/5/2022,10,Extreme Fear
22/5/2022,14,Extreme Fear
21/5/2022,13,Extreme Fear
20/5/2022,13,Extreme Fear
19/5/2022,13,Extreme Fear
18/5/2022,12,Extreme Fear
17/5/2022,8,Extreme Fear
16/5/2022,14,Extreme Fear
15/5/2022,10,Extreme Fear
14/5/2022,9,Extreme Fear
13/5/2022,10,Extreme Fear
12/5/2022,12,Extreme Fear
11/5/2022,12,Extreme Fear
10/5/2022,10,Extreme Fear
9/5/2022,11,Extreme Fear
8/5/2022,18,Extreme Fear
7/5/2022,23,Extreme Fear
6/5/2022,22,Extreme Fear
5/5/2022,27,Fear
4/5/2022,21,Extreme Fear
3/5/2022,27,Fear
2/5/2022,28,Fear
1/5/2022,22,Extreme Fear
30/4/2022,20,Extreme Fear
29/4/2022,23,Extreme Fear
28/4/2022,24,Extreme Fear
27/4/2022,21,Extreme Fear
26/4/2022,27,Fear
25/4/2022,23,Extreme Fear
24/4/2022,24,Extreme Fear
23/4/2022,24,Extreme Fear
22/4/2022,26,Fear
21/4/2022,27,Fear
20/4/2022,27,Fear
19/4/2022,27,Fear
18/4/2022,24,Extreme Fear
17/4/2022,28,Fear
16/4/2022,28,Fear
15/4/2022,22,Extreme Fear
14/4/2022,28,Fear
13/4/2022,25,Extreme Fear
12/4/2022,20,Extreme Fear
11/4/2022,32,Fear
10/4/2022,34,Fear
9/4/2022,30,Fear
8/4/2022,37,Fear
7/4/2022,34,Fear
6/4/2022,48,Neutral
5/4/2022,53,Neutral
4/4/2022,52,Neutral
3/4/2022,48,Neutral
2/4/2022,52,Neutral
1/4/2022,50,Neutral
31/3/2022,52,Neutral
30/3/2022,55,Greed
29/3/2022,56,Greed
28/3/2022,60,Greed
27/3/2022,49,Neutral
26/3/2022,51,Neutral
25/3/2022,47,Neutral
24/3/2022,40,Fear
23/3/2022,31,Fear
22/3/2022,26,Fear
21/3/2022,30,Fear
20/3/2022,31,Fear
19/3/2022,28,Fear
18/3/2022,25,Extreme Fear
17/3/2022,27,Fear
16/3/2022,24,Extreme Fear
15/3/2022,21,Extreme Fear
14/3/2022,23,Extreme Fear
13/3/2022,21,Extreme Fear
12/3/2022,22,Extreme Fear
11/3/2022,22,Extreme Fear
10/3/2022,28,Fear
9/3/2022,22,Extreme Fear
8/3/2022,21,Extreme Fear
7/3/2022,23,Extreme Fear
6/3/2022,22,Extreme Fear
5/3/2022,22,Extreme Fear
4/3/2022,33,Fear
3/3/2022,39,Fear
2/3/2022,52,Neutral
1/3/2022,51,Neutral
28/2/2022,20,Extreme Fear
27/2/2022,26,Fear
26/2/2022,26,Fear
25/2/2022,27,Fear
24/2/2022,23,Extreme Fear
23/2/2022,25,Extreme Fear
22/2/2022,20,Extreme Fear
21/2/2022,25,Extreme Fear
20/2/2022,27,Fear
19/2/2022,25,Extreme Fear
18/2/2022,30,Fear
17/2/2022,52,Neutral
16/2/2022,51,Neutral
15/2/2022,46,Fear
14/2/2022,46,Fear
13/2/2022,44,Fear
12/2/2022,44,Fear
11/2/2022,50,Neutral
10/2/2022,50,Neutral
9/2/2022,54,Neutral
8/2/2022,48,Neutral
7/2/2022,45,Fear
6/2/2022,37,Fear
5/2/2022,33,Fear
4/2/2022,20,Extreme Fear
3/2/2022,20,Extreme Fear
2/2/2022,28,Fear
1/2/2022,26,Fear
31/1/2022,20,Extreme Fear
30/1/2022,29,Fear
29/1/2022,24,Extreme Fear
28/1/2022,24,Extreme Fear
27/1/2022,20,Extreme Fear
26/1/2022,23,Extreme Fear
25/1/2022,12,Extreme Fear
24/1/2022,13,Extreme Fear
23/1/2022,11,Extreme Fear
22/1/2022,13,Extreme Fear
21/1/2022,19,Extreme Fear
20/1/2022,24,Extreme Fear
19/1/2022,24,Extreme Fear
18/1/2022,24,Extreme Fear
17/1/2022,22,Extreme Fear
16/1/2022,21,Extreme Fear
15/1/2022,23,Extreme Fear
14/1/2022,21,Extreme Fear
13/1/2022,21,Extreme Fear
12/1/2022,22,Extreme Fear
11/1/2022,21,Extreme Fear
10/1/2022,23,Extreme Fear
9/1/2022,23,Extreme Fear
8/1/2022,10,Extreme Fear
7/1/2022,18,Extreme Fear
6/1/2022,15,Extreme Fear
5/1/2022,24,Extreme Fear
4/1/2022,23,Extreme Fear
3/1/2022,29,Fear
2/1/2022,29,Fear
1/1/2022,21,Extreme Fear
31/12/2021,28,Fear
30/12/2021,22,Extreme Fear
29/12/2021,27,Fear
28/12/2021,41,Fear
27/12/2021,40,Fear
26/12/2021,37,Fear
25/12/2021,39,Fear
24/12/2021,41,Fear
23/12/2021,34,Fear
22/12/2021,45,Fear
21/12/2021,27,Fear
20/12/2021,25,Extreme Fear
19/12/2021,29,Fear
18/12/2021,24,Extreme Fear
17/12/2021,23,Extreme Fear
16/12/2021,29,Fear
15/12/2021,28,Fear
14/12/2021,21,Extreme Fear
13/12/2021,28,Fear
12/12/2021,27,Fear
11/12/2021,16,Extreme Fear
10/12/2021,24,Extreme Fear
9/12/2021,29,Fear
8/12/2021,28,Fear
7/12/2021,25,Extreme Fear
